# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	27153	27701	-	EMBJFE_00039		Phage protein	RefSeq:WP_007398468.1, SO:0001217, UniParc:UPI0002080639, UniRef:UniRef100_UPI0002080639, UniRef:UniRef50_A0A0D6QCG2, UniRef:UniRef90_A0A858JSG3
contig_1	cds	27784	29136	-	EMBJFE_00040		DUF4043 domain-containing protein	RefSeq:WP_039998915.1, SO:0001217, UniParc:UPI00058719D9, UniRef:UniRef100_A0A181CAH7, UniRef:UniRef50_A0A511X8W8, UniRef:UniRef90_G2I433
contig_1	cds	29499	29996	-	EMBJFE_00041		Phage minor structural protein GP20	RefSeq:WP_034931405.1, SO:0001217, UniParc:UPI00030BCF9E, UniRef:UniRef100_A0A858JII4, UniRef:UniRef50_A0A858JII4, UniRef:UniRef90_A0A858JII4
contig_1	cds	30021	31433	-	EMBJFE_00042		Phage portal protein	RefSeq:WP_039998903.1, SO:0001217, UniParc:UPI00030E7B1A, UniRef:UniRef100_A0A181CAL1, UniRef:UniRef50_Q5FN60, UniRef:UniRef90_G2I431
contig_1	cds	31561	32223	+	EMBJFE_00043		DUF2726 domain-containing protein	RefSeq:WP_099963230.1, SO:0001217, UniParc:UPI000306F163, UniRef:UniRef100_A0A181CAI2, UniRef:UniRef50_G2I430, UniRef:UniRef90_A0A181CAI2
contig_1	cds	32293	33606	-	EMBJFE_00044		Phage DNA packaging protein	KEGG:K06909, RefSeq:WP_007398463.1, SO:0001217, UniParc:UPI0002080634, UniRef:UniRef100_UPI0002080634, UniRef:UniRef50_A0A9N7CNA7, UniRef:UniRef90_G2I429
contig_1	cds	33590	33985	-	EMBJFE_00045		Terminase small subunit	RefSeq:WP_007398462.1, SO:0001217, UniParc:UPI0002080633, UniRef:UniRef100_A0A181CAF6, UniRef:UniRef50_A0A347WEZ1, UniRef:UniRef90_A0A181CAF6
contig_1	cds	34395	34910	+	EMBJFE_00046		GIY-YIG nuclease family protein	RefSeq:WP_039998901.1, SO:0001217, UniParc:UPI000310921E, UniRef:UniRef100_A0A181CAE3, UniRef:UniRef50_C5B5F6, UniRef:UniRef90_A0A181CAE3
contig_1	cds	34990	36111	-	EMBJFE_00047		hypothetical protein	RefSeq:WP_007398457.1, SO:0001217, UniParc:UPI000208062E, UniRef:UniRef100_A0A181CAI7, UniRef:UniRef50_G2I420, UniRef:UniRef90_A0A181CAI7
contig_1	cds	36360	37502	-	EMBJFE_00048		DMT family transporter	RefSeq:WP_112209999.1, SO:0001217, UniParc:UPI0007DE2EAA, UniRef:UniRef100_A0A181CAE6, UniRef:UniRef50_G7Z3R9, UniRef:UniRef90_A0A181CAE6
contig_1	cds	37809	38357	-	EMBJFE_00049		DUF6456 domain-containing protein	RefSeq:WP_007398454.1, SO:0001217, UniParc:UPI000208062B, UniRef:UniRef100_A0A181CAI4, UniRef:UniRef50_A0A850P1P7, UniRef:UniRef90_A0A181CAI4
contig_1	cds	39026	40297	+	EMBJFE_00050		Acyltransferase	RefSeq:WP_157772010.1, SO:0001217, UniParc:UPI00031BBA92, UniRef:UniRef100_A0A181CAG8, UniRef:UniRef50_A0A1U9KK98, UniRef:UniRef90_A0A181CAG8
contig_1	cds	40308	41699	-	EMBJFE_00051		MFS transporter	SO:0001217, UniRef:UniRef50_A0A0M0EJY4, UniRef:UniRef90_A0A858JFS4
contig_1	cds	41755	43008	-	EMBJFE_00052		DNA primase	RefSeq:WP_099963231.1, SO:0001217, UniParc:UPI000C1B5BC0, UniRef:UniRef100_A0A858JEG6, UniRef:UniRef50_A0A0D6Q293, UniRef:UniRef90_A0A858JEG6
contig_1	cds	43205	44038	-	EMBJFE_00053		Bifunctional DNA primase/polymerase	RefSeq:WP_099963232.1, SO:0001217, UniParc:UPI0007DDE9A8, UniRef:UniRef100_A0A181CAH3, UniRef:UniRef50_A0A0M0EES9, UniRef:UniRef90_A0A181CAH3
contig_1	cds	44134	45102	+	EMBJFE_00054		Helix-turn-helix protein	COG:COG2932, COG:X, RefSeq:WP_034932189.1, SO:0001217, UniParc:UPI0002FE6F21, UniRef:UniRef100_A0A181CAD5, UniRef:UniRef50_G2I412, UniRef:UniRef90_A0A0M0EEV6
contig_1	cds	45403	45939	+	EMBJFE_00055		hypothetical protein	PFAM:PF08883.16
contig_1	cds	45932	46810	-	EMBJFE_00056	lysR	LysR family transcriptional regulator	RefSeq:WP_007398446.1, SO:0001217, UniParc:UPI0002080623, UniRef:UniRef100_A0A181CAD2, UniRef:UniRef50_K8NYK1, UniRef:UniRef90_A0A181CAD2
contig_1	cds	46921	47952	+	EMBJFE_00057		Putative sulfate exporter family transporter	RefSeq:WP_050800666.1, SO:0001217, UniParc:UPI0002FA74AD, UniRef:UniRef100_A0A181CAH6, UniRef:UniRef50_G2I407, UniRef:UniRef90_A0A181CAH6
contig_1	cds	48034	49221	+	EMBJFE_00058	nhaA	Na+/H+ antiporter NhaA	GO:0006814, GO:0006885, GO:0015385, GO:0016020, KEGG:K03313, SO:0001217, UniParc:UPI001CC2849E, UniRef:UniRef100_UPI001CC2849E, UniRef:UniRef50_Q5FNE6, UniRef:UniRef90_A0A858JH64
contig_1	cds	49340	49429	-	EMBJFE_00059		hypothetical protein	
contig_1	cds	49441	49905	-	EMBJFE_00060		hypothetical protein	RefSeq:WP_007398443.1, SO:0001217, UniParc:UPI0002080620, UniRef:UniRef100_A0A181CAF7, UniRef:UniRef50_G2I415, UniRef:UniRef90_A0A0N1N784
contig_1	cds	50352	51416	+	EMBJFE_00061		Lipoprotein	RefSeq:WP_034932192.1, SO:0001217, UniParc:UPI0004DA61AD, UniRef:UniRef100_A0A181CAF9, UniRef:UniRef50_D5QEE1, UniRef:UniRef90_D5QEE1
contig_1	cds	51546	52610	-	EMBJFE_00062		NADH:flavin oxidoreductase	RefSeq:WP_034932211.1, SO:0001217, UniParc:UPI0004D5C8A2, UniRef:UniRef100_A0A181CAI9, UniRef:UniRef50_A0A102PWG1, UniRef:UniRef90_G2I403
contig_1	cds	52762	53787	-	EMBJFE_00063		DUF4105 domain-containing protein	RefSeq:WP_099963234.1, SO:0001217, UniParc:UPI0007DDBF64, UniRef:UniRef100_A0A181CAG0, UniRef:UniRef50_A0A1U9KC97, UniRef:UniRef90_A0A181CAG0
contig_1	cds	53784	55736	-	EMBJFE_00064		Alpha/beta hydrolase	EC:3.1.1.3, KEGG:K01046, RefSeq:WP_099963235.1, SO:0001217, UniParc:UPI0007DD9A9E, UniRef:UniRef100_A0A181CAC5, UniRef:UniRef50_A0A6V8I829, UniRef:UniRef90_A0A181CAC5
contig_1	cds	55844	56167	+	EMBJFE_00065		Transposase	RefSeq:WP_034932196.1, SO:0001217, UniParc:UPI0004D5EC7B, UniRef:UniRef100_A0A181CAD8, UniRef:UniRef50_A0A9N7GZW0, UniRef:UniRef90_A0A181CAD8
contig_1	cds	56272	56565	+	EMBJFE_00066		DUF333 domain-containing protein	KEGG:K09712, RefSeq:WP_223846676.1, SO:0001217, UniParc:UPI0007DD9B9B, UniRef:UniRef100_UPI0007DD9B9B, UniRef:UniRef50_G2I400, UniRef:UniRef90_A0A858JPG9
contig_1	cds	56579	56848	+	EMBJFE_00067		hypothetical protein	RefSeq:WP_051672135.1, SO:0001217, UniParc:UPI0004D963AD, UniRef:UniRef100_A0A181CAG7, UniRef:UniRef50_A0A0D6Q8N5, UniRef:UniRef90_A0A181CAG7
contig_1	cds	56878	57219	+	EMBJFE_00068		hypothetical protein	RefSeq:WP_139064284.1, SO:0001217, UniParc:UPI0007DD4055, UniRef:UniRef100_A0A181CAC6, UniRef:UniRef50_A0A181CAC6, UniRef:UniRef90_A0A181CAC6
contig_1	cds	57593	57985	+	EMBJFE_00069		DUF937 domain-containing protein	RefSeq:WP_007398434.1, SO:0001217, UniParc:UPI0002080617, UniRef:UniRef100_A0A181CAG4, UniRef:UniRef50_A0A347WF23, UniRef:UniRef90_A0A181CAG4
contig_1	cds	58258	59829	+	EMBJFE_00070		AAA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A858JH54, UniRef:UniRef90_A0A858JH54
contig_1	cds	59826	61388	+	EMBJFE_00071		2-keto-D-gluconate dehydrogenase	KEGG:K19147, RefSeq:WP_007398431.1, SO:0001217, UniParc:UPI0002080614, UniRef:UniRef100_A0A181CAF0, UniRef:UniRef50_A0A181CAF0, UniRef:UniRef90_A0A181CAF0
contig_1	cds	61478	62056	-	EMBJFE_00072		DNA-3-methyladenine glycosylase I	EC:3.2.2.20, KEGG:K01246, RefSeq:WP_223846675.1, SO:0001217, UniParc:UPI0002F9011F, UniRef:UniRef100_A0A858JN88, UniRef:UniRef50_A0A0M0ECI0, UniRef:UniRef90_G2I3Z7
contig_1	cds	62230	64431	-	EMBJFE_00073	gcd	Glycerol dehydrogenase large subunit	COG:COG4993, COG:G, SO:0001217, UniRef:UniRef50_Q8KIL1, UniRef:UniRef90_A0A347WF31
contig_1	cds	64431	64817	-	EMBJFE_00074		Glucose dehydrogenase	RefSeq:WP_007398427.1, SO:0001217, UniParc:UPI000208051B, UniRef:UniRef100_A0A181CAB8, UniRef:UniRef50_G2I3Z5, UniRef:UniRef90_G2I3Z5
contig_1	cds	65356	65769	-	EMBJFE_00075		Transcriptional regulator Rrf2 family	KEGG:K13771, RefSeq:WP_112209990.1, SO:0001217, UniParc:UPI0007DD5BA8, UniRef:UniRef100_A0A181CAC8, UniRef:UniRef50_O87375, UniRef:UniRef90_G2I3Z4
contig_1	cds	66054	66491	-	EMBJFE_00076		Rrf2 family transcriptional regulator	KEGG:K13771, RefSeq:WP_007398423.1, SO:0001217, UniParc:UPI0002080517, UniRef:UniRef100_A0A181CAB2, UniRef:UniRef50_A0A347WF37, UniRef:UniRef90_A0A181CAB2
contig_1	cds	66498	68240	-	EMBJFE_00077		EAL domain-containing protein	RefSeq:WP_112209988.1, SO:0001217, UniParc:UPI0007DE1DF1, UniRef:UniRef100_A0A181CAF8, UniRef:UniRef50_A0A2S3W4N9, UniRef:UniRef90_A0A181CAF8
contig_1	cds	68273	70666	-	EMBJFE_00078		C-di-GMP phosphodiesterase	SO:0001217, UniParc:UPI0007DDD423, UniRef:UniRef100_A0A181CAB5, UniRef:UniRef50_A0A0M0EKP8, UniRef:UniRef90_A0A318PKT2
contig_1	cds	70663	71289	-	EMBJFE_00079		Transcriptional regulator cAMP-binding	RefSeq:WP_050800664.1, SO:0001217, UniParc:UPI000682FEF3, UniRef:UniRef100_A0A181CAF1, UniRef:UniRef50_A0A0M0EIU0, UniRef:UniRef90_G2I3Z0
contig_1	cds	72204	73532	-	EMBJFE_00080		AAA family ATPase	RefSeq:WP_034927432.1, SO:0001217, UniParc:UPI0004D828C3, UniRef:UniRef100_A0A181CAD4, UniRef:UniRef50_A0A0M0EJQ3, UniRef:UniRef90_A0A181CAD4
contig_1	cds	73860	75155	+	EMBJFE_00081		MFS transporter	RefSeq:WP_317983809.1, SO:0001217, UniParc:UPI00295E4894, UniRef:UniRef100_UPI00295E4894, UniRef:UniRef50_A0A0D6MH13, UniRef:UniRef90_A0A181CAE0
contig_1	cds	75168	76271	-	EMBJFE_00082		N-acetylglucosamine-6-phosphate deacetylase	EC:3.5.1.25, KEGG:K01443, RefSeq:WP_007398415.1, SO:0001217, UniParc:UPI000208050F, UniRef:UniRef100_A0A181CAG5, UniRef:UniRef50_A0A0U5EZ13, UniRef:UniRef90_G2I3Y7
contig_1	cds	76611	79166	-	EMBJFE_00083	dosP	Oxygen sensor protein DosP	RefSeq:WP_039998787.1, SO:0001217, UniParc:UPI000587C205, UniRef:UniRef100_A0A181CAD9, UniRef:UniRef50_A0A347WF43, UniRef:UniRef90_A0A0M0EIV1
contig_1	cds	79598	82081	+	EMBJFE_00084		histidine kinase	RefSeq:WP_039998862.1, SO:0001217, UniParc:UPI000586DD9E, UniRef:UniRef100_A0A181CAA6, UniRef:UniRef50_A0A347WF45, UniRef:UniRef90_A0A181CAA6
contig_1	cds	82108	83220	+	EMBJFE_00085		L-sorbosone dehydrogenase	RefSeq:WP_007398410.1, SO:0001217, UniParc:UPI000208050A, UniRef:UniRef100_A0A181CAB9, UniRef:UniRef50_A0A1F7PGU3, UniRef:UniRef90_G2I3Y4
contig_1	cds	83350	83928	+	EMBJFE_00086		Cupin domain-containing protein	RefSeq:WP_039998786.1, SO:0001217, UniParc:UPI000303BBB2, UniRef:UniRef100_A0A858JIQ7, UniRef:UniRef50_A0A0D6MN37, UniRef:UniRef90_A0A858JIQ7
contig_1	cds	84248	85612	+	EMBJFE_00087		Amidohydrolase family protein	EC:3.5.4.3, KEGG:K01487, RefSeq:WP_007398407.1, SO:0001217, UniParc:UPI0002080507, UniRef:UniRef100_A0A181CAE7, UniRef:UniRef50_A0A9X1NUG1, UniRef:UniRef90_A0A181CAE7
contig_1	cds	85673	86815	-	EMBJFE_00088		Purine-binding protein	KEGG:K07335, RefSeq:WP_007398406.1, SO:0001217, UniParc:UPI0002080506, UniRef:UniRef100_A0A181CAA8, UniRef:UniRef50_B9JJL4, UniRef:UniRef90_A0A0M0EIU1
contig_1	cds	86812	87573	-	EMBJFE_00089		Alpha/beta fold hydrolase	RefSeq:WP_039998784.1, SO:0001217, UniParc:UPI00030E8477, UniRef:UniRef100_A0A181CAE2, UniRef:UniRef50_A0A327KU41, UniRef:UniRef90_A0A181CAE2
contig_1	cds	87570	88547	-	EMBJFE_00090		2-oxoglutarate-dependent ethylene/succinate-forming enzyme	RefSeq:WP_223846674.1, SO:0001217, UniParc:UPI0007DE2FB2, UniRef:UniRef100_A0A858JMR5, UniRef:UniRef50_A0A5S5BEN7, UniRef:UniRef90_A0A858JMR5
contig_1	cds	88625	89974	-	EMBJFE_00091		Amidohydrolase family protein	EC:3.5.4.32, KEGG:K18456, RefSeq:WP_007398401.1, SO:0001217, UniParc:UPI0002080501, UniRef:UniRef100_A0A181CAD0, UniRef:UniRef50_A0A380WP38, UniRef:UniRef90_A0A181CAD0
contig_1	cds	90885	91388	+	EMBJFE_00092		Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase	EC:3.1.1.-, KEGG:K03976, RefSeq:WP_112209980.1, SO:0001217, UniParc:UPI0007DD2911, UniRef:UniRef100_A0A181CAF2, UniRef:UniRef50_A0A1B6VI15, UniRef:UniRef90_A0A181CAF2
contig_1	cds	91448	92365	+	EMBJFE_00093		DMT family transporter	SO:0001217, UniRef:UniRef50_C7JAR7, UniRef:UniRef90_A0A858JIM0
contig_1	cds	92413	95373	+	EMBJFE_00094		Glycosyltransferase	RefSeq:WP_039998857.1, SO:0001217, UniParc:UPI0002DDB7E0, UniRef:UniRef100_A0A181CA99, UniRef:UniRef50_A0A0M0EJR6, UniRef:UniRef90_A0A181CA99
contig_1	cds	95404	96087	+	EMBJFE_00095		GDP-mannose pyrophosphatase	EC:3.6.1.21, KEGG:K18447, RefSeq:WP_007398396.1, SO:0001217, UniParc:UPI00020804FC, UniRef:UniRef100_A0A181CAA5, UniRef:UniRef50_A0A347WF60, UniRef:UniRef90_A0A181CAA5
contig_1	ncRNA	96159	96227	+	EMBJFE_00096	suhB	Makes More Granules Regulator RNA (mmgR)	RFAM:RF00519, SO:0000655
contig_1	cds	96307	96666	+	EMBJFE_00097		DUF937 domain-containing protein	RefSeq:WP_007398394.1, SO:0001217, UniParc:UPI00020804FA, UniRef:UniRef100_A0A181CA92, UniRef:UniRef50_G2I3X7, UniRef:UniRef90_G2I3X7
contig_1	cds	96722	97636	-	EMBJFE_00098		N-formylglutamate amidohydrolase	SO:0001217, UniRef:UniRef50_A0A7W4JVD6, UniRef:UniRef90_A0A858JN72
contig_1	tRNA	97806	97880	+	EMBJFE_00099	trnV	tRNA-Val(gac)	SO:0000273
contig_1	cds	99833	100282	-	EMBJFE_00100		hypothetical protein	RefSeq:WP_039998783.1, SO:0001217, UniParc:UPI0005866B5E, UniRef:UniRef100_A0A181CA95, UniRef:UniRef50_A0A181CA95, UniRef:UniRef90_A0A181CA95
contig_1	cds	100284	100763	-	EMBJFE_00101		hypothetical protein	RefSeq:WP_112209978.1, SO:0001217, UniParc:UPI0007DD1586, UniRef:UniRef100_UPI0007DD1586, UniRef:UniRef50_UPI0007DD1586, UniRef:UniRef90_UPI0007DD1586
contig_1	cds	100822	102048	+	EMBJFE_00102	istA	IS21 family transposase	GO:0004803, SO:0001217, UniParc:UPI000237F157, UniRef:UniRef100_A0A6S6PX27, UniRef:UniRef50_A0AA37M8I2, UniRef:UniRef90_A0A6S6PX27
contig_1	cds	102045	102890	+	EMBJFE_00103	istB	IS21-like element helper ATPase IstB	GO:0005524, RefSeq:WP_007396167.1, SO:0001217, UniParc:UPI000207F854, UniRef:UniRef100_A0A6S6PR21, UniRef:UniRef50_A0A255YYW3, UniRef:UniRef90_A0A177JUJ6
contig_1	cds	102951	103403	-	EMBJFE_00104		Type IV secretion system proteins	SO:0001217, UniRef:UniRef50_A0A858JJP9, UniRef:UniRef90_UPI001B8C7199
contig_1	cds	105282	106061	-	EMBJFE_00105	istB	IS21-like element helper ATPase IstB	COG:COG1484, COG:L, GO:0005524, RefSeq:WP_003630803.1, SO:0001217, UniParc:UPI0002457C59, UniRef:UniRef100_A0A967EJH9, UniRef:UniRef50_A0A4Z1QW61, UniRef:UniRef90_A0A6V8IKZ0
contig_1	cds	106051	107574	-	EMBJFE_00106	istA	IS21 family transposase	COG:COG4584, COG:X, GO:0004803, RefSeq:WP_035366403.1, SO:0001217, UniParc:UPI0003200FC2, UniRef:UniRef100_A0A967ECZ5, UniRef:UniRef50_Q46087, UniRef:UniRef90_A0A0U5BGT7
