# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	11103	11702	-	EMBJFE_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JMS5
contig_1	cds	11849	12232	-	EMBJFE_00019	222.0	2.5e-73	0.882	1.0	1.0	UniRef:UniRef90_A0A858JEJ1
contig_1	cds	12189	12680	-	EMBJFE_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAJ5
contig_1	cds	12677	13144	-	EMBJFE_00021	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAJ7
contig_1	cds	13207	13698	-	EMBJFE_00022	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAN0
contig_1	cds	13709	15337	-	EMBJFE_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000208073D
contig_1	cds	15337	15963	-	EMBJFE_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAG3
contig_1	cds	15956	17080	-	EMBJFE_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAH5
contig_1	cds	17180	17767	+	EMBJFE_00026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAG1
contig_1	cds	17774	18136	-	EMBJFE_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAK7
contig_1	cds	18133	18366	-	EMBJFE_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAG2
contig_1	cds	18363	19043	-	EMBJFE_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAK3
contig_1	cds	19036	20184	-	EMBJFE_00030	748.0	1.7e-272	1.0	0.990	1.0	UniRef:UniRef90_A0A858JEI3
contig_1	cds	20193	20402	-	EMBJFE_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAI8
contig_1	cds	20419	21339	-	EMBJFE_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAM2
contig_1	cds	21566	22858	-	EMBJFE_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAJ0
contig_1	cds	23024	23335	-	EMBJFE_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAF5
contig_1	cds	23346	23777	-	EMBJFE_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAG6
contig_1	cds	23842	25326	-	EMBJFE_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAF4
contig_1	cds	25525	26394	-	EMBJFE_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAJ8
contig_1	cds	26503	27153	-	EMBJFE_00038	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAF3
contig_1	cds	27153	27701	-	EMBJFE_00039	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0002080639
contig_1	cds	27784	29136	-	EMBJFE_00040	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAH7
contig_1	cds	29499	29996	-	EMBJFE_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JII4
contig_1	cds	30021	31433	-	EMBJFE_00042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAL1
contig_1	cds	31561	32223	+	EMBJFE_00043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAI2
contig_1	cds	32293	33606	-	EMBJFE_00044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0002080634
contig_1	cds	33590	33985	-	EMBJFE_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAF6
contig_1	cds	34395	34910	+	EMBJFE_00046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAE3
contig_1	cds	34990	36111	-	EMBJFE_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAI7
contig_1	cds	36360	37502	-	EMBJFE_00048	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAE6
contig_1	cds	37809	38357	-	EMBJFE_00049	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAI4
contig_1	cds	39026	40297	+	EMBJFE_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAG8
contig_1	cds	40308	41699	-	EMBJFE_00051	723.0	5.1e-261	0.877	1.0	1.0	UniRef:UniRef90_A0A858JFS4
contig_1	cds	41755	43008	-	EMBJFE_00052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JEG6
contig_1	cds	43205	44038	-	EMBJFE_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAH3
contig_1	cds	44134	45102	+	EMBJFE_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAD5
contig_1	cds	45403	45939	+	EMBJFE_00055	-	-	-	-	-	-
contig_1	cds	45932	46810	-	EMBJFE_00056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAD2
contig_1	cds	46921	47952	+	EMBJFE_00057	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAH6
contig_1	cds	48034	49221	+	EMBJFE_00058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001CC2849E
contig_1	cds	49340	49429	-	EMBJFE_00059	-	-	-	-	-	-
contig_1	cds	49441	49905	-	EMBJFE_00060	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAF7
contig_1	cds	50352	51416	+	EMBJFE_00061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAF9
contig_1	cds	51546	52610	-	EMBJFE_00062	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAI9
contig_1	cds	52762	53787	-	EMBJFE_00063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAG0
contig_1	cds	53784	55736	-	EMBJFE_00064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAC5
contig_1	cds	55844	56167	+	EMBJFE_00065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAD8
contig_1	cds	56272	56565	+	EMBJFE_00066	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0007DD9B9B
contig_1	cds	56579	56848	+	EMBJFE_00067	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAG7
contig_1	cds	56878	57219	+	EMBJFE_00068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAC6
contig_1	cds	57593	57985	+	EMBJFE_00069	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAG4
contig_1	cds	58258	59829	+	EMBJFE_00070	896.0	0.0	0.849	1.0	1.0	UniRef:UniRef90_A0A858JH54
contig_1	cds	59826	61388	+	EMBJFE_00071	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAF0
contig_1	cds	61478	62056	-	EMBJFE_00072	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JN88
contig_1	cds	62230	64431	-	EMBJFE_00073	1429.0	0.0	0.999	0.996	0.958	UniRef:UniRef90_A0A347WF31
contig_1	cds	64431	64817	-	EMBJFE_00074	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAB8
contig_1	cds	65356	65769	-	EMBJFE_00075	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAC8
contig_1	cds	66054	66491	-	EMBJFE_00076	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAB2
contig_1	cds	66498	68240	-	EMBJFE_00077	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAF8
contig_1	cds	68273	70666	-	EMBJFE_00078	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAB5
contig_1	cds	70663	71289	-	EMBJFE_00079	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAF1
contig_1	cds	72204	73532	-	EMBJFE_00080	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAD4
contig_1	cds	73860	75155	+	EMBJFE_00081	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00295E4894
contig_1	cds	75168	76271	-	EMBJFE_00082	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAG5
contig_1	cds	76611	79166	-	EMBJFE_00083	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAD9
contig_1	cds	79598	82081	+	EMBJFE_00084	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAA6
contig_1	cds	82108	83220	+	EMBJFE_00085	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAB9
contig_1	cds	83350	83928	+	EMBJFE_00086	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JIQ7
contig_1	cds	84248	85612	+	EMBJFE_00087	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAE7
contig_1	cds	85673	86815	-	EMBJFE_00088	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAA8
contig_1	cds	86812	87573	-	EMBJFE_00089	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAE2
contig_1	cds	87570	88547	-	EMBJFE_00090	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JMR5
contig_1	cds	88625	89974	-	EMBJFE_00091	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAD0
contig_1	cds	90885	91388	+	EMBJFE_00092	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAF2
contig_1	cds	91448	92365	+	EMBJFE_00093	568.0	4.8e-204	0.987	1.0	1.0	UniRef:UniRef90_A0A858JIM0
contig_1	cds	92413	95373	+	EMBJFE_00094	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA99
contig_1	cds	95404	96087	+	EMBJFE_00095	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAA5
contig_1	ncRNA	96159	96227	+	EMBJFE_00096	48.8	2.9e-06	-	-	-	RFAM:RF00519
contig_1	cds	96307	96666	+	EMBJFE_00097	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA92
contig_1	cds	96722	97636	-	EMBJFE_00098	636.0	6.2e-231	1.0	0.987	1.0	UniRef:UniRef90_A0A858JN72
contig_1	tRNA	97806	97880	+	EMBJFE_00099	80.0	-	-	-	-	-
contig_1	cds	99833	100282	-	EMBJFE_00100	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA95
contig_1	cds	100284	100763	-	EMBJFE_00101	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0007DD1586
contig_1	cds	100822	102048	+	EMBJFE_00102	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6S6PX27
contig_1	cds	102045	102890	+	EMBJFE_00103	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A6S6PR21
contig_1	cds	102951	103403	-	EMBJFE_00104	196.0	8.6e-62	0.993	0.837	0.933	UniRef:UniRef90_UPI001B8C7199
contig_1	cds	105282	106061	-	EMBJFE_00105	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A967EJH9
contig_1	cds	106051	107574	-	EMBJFE_00106	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A967ECZ5
contig_1	cds	107672	109813	-	EMBJFE_00107	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0007DCC155
contig_1	cds	109810	110781	-	EMBJFE_00108	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAE1
contig_1	cds	110778	112076	-	EMBJFE_00109	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAC0
contig_1	cds	112073	113920	-	EMBJFE_00110	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JMS4
contig_1	cds	113954	114355	-	EMBJFE_00111	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA93
contig_1	cds	114355	114582	-	EMBJFE_00112	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A967B7F6
contig_1	cds	114685	115203	-	EMBJFE_00113	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAC7
contig_1	cds	116194	116973	+	EMBJFE_00114	473.0	3.9e-168	0.973	1.0	0.996	UniRef:UniRef90_A0A858JJ88
contig_1	cds	117102	118694	-	EMBJFE_00115	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAA9
contig_1	cds	119594	121375	-	EMBJFE_00116	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAA7
contig_1	cds	121511	122425	+	EMBJFE_00117	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAD1
contig_1	cds	122687	123694	+	EMBJFE_00118	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAB0
contig_1	cds	123850	125046	+	EMBJFE_00119	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA77
contig_1	cds	125185	125595	-	EMBJFE_00120	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA88
contig_1	cds	125674	127167	-	EMBJFE_00121	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA72
contig_1	cds	127563	128750	-	EMBJFE_00122	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAB6
contig_1	cds	128747	129709	-	EMBJFE_00123	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA75
contig_1	cds	129709	130521	-	EMBJFE_00124	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAB4
contig_1	cds	130523	131959	-	EMBJFE_00125	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA96
contig_1	cds	132110	132310	-	EMBJFE_00126	-	-	-	-	-	-
contig_1	cds	132422	134293	+	EMBJFE_00127	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAC1
contig_1	cds	134299	135198	+	EMBJFE_00128	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAA0
contig_1	cds	135195	136016	+	EMBJFE_00129	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA69
contig_1	cds	136152	137045	-	EMBJFE_00130	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA76
contig_1	cds	137199	137750	-	EMBJFE_00131	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA62
contig_1	cds	137747	138946	-	EMBJFE_00132	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAA4
contig_1	cds	139140	140756	+	EMBJFE_00133	1114.0	0.0	1.0	0.987	1.0	UniRef:UniRef90_A0A858JIJ2
contig_1	cds	140928	141938	-	EMBJFE_00134	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JLH6
contig_1	cds	142024	143610	-	EMBJFE_00135	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA86
contig_1	cds	143754	144530	-	EMBJFE_00136	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA87
contig_1	cds	144562	145176	-	EMBJFE_00137	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAB1
contig_1	cds	145207	145791	-	EMBJFE_00138	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA90
contig_1	cds	145996	146724	-	EMBJFE_00139	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA58
contig_1	cds	146734	148290	-	EMBJFE_00140	972.0	0.0	0.988	1.0	0.998	UniRef:UniRef90_A0A858JPG3
contig_1	cds	148259	149335	-	EMBJFE_00141	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA55
contig_1	cds	149352	150989	-	EMBJFE_00142	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA98
contig_1	cds	151128	153221	-	EMBJFE_00143	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JIA0
contig_1	cds	153296	153832	-	EMBJFE_00144	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA94
contig_1	cds	153964	154581	-	EMBJFE_00145	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA78
contig_1	cds	154773	156008	+	EMBJFE_00146	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA79
contig_1	cds	156026	156772	-	EMBJFE_00147	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CAA1
contig_1	cds	157010	158281	-	EMBJFE_00148	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA80
contig_1	cds	158323	159597	-	EMBJFE_00149	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA49
contig_1	cds	159609	160961	-	EMBJFE_00150	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA59
contig_1	cds	161178	161591	-	EMBJFE_00151	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA45
contig_1	cds	161638	162987	-	EMBJFE_00152	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA83
contig_1	cds	163129	164529	+	EMBJFE_00153	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA47
contig_1	cds	164609	165292	+	EMBJFE_00154	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA84
contig_1	cds	165426	166565	+	EMBJFE_00155	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JNR4
contig_1	cds	166562	167485	+	EMBJFE_00156	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00020802D3
contig_1	cds	167520	168767	+	EMBJFE_00157	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA91
contig_1	cds	169317	171668	-	EMBJFE_00158	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA70
contig_1	cds	172257	173198	+	EMBJFE_00159	625.0	4.4e-226	1.0	0.963	0.997	UniRef:UniRef90_G2I3U8
contig_1	cds	173301	174524	+	EMBJFE_00160	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA48
contig_1	cds	174556	176058	-	EMBJFE_00161	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000680C075
contig_1	cds	176192	177589	+	EMBJFE_00162	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA73
contig_1	cds	177633	178562	-	EMBJFE_00163	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA36
contig_1	cds	178705	179319	+	EMBJFE_00164	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA74
contig_1	cds	179350	181107	+	EMBJFE_00165	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA53
contig_1	cds	181172	182305	+	EMBJFE_00166	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA56
contig_1	cds	182454	183074	-	EMBJFE_00167	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA81
contig_1	cds	183071	183799	-	EMBJFE_00168	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA60
contig_1	cds	183799	184920	-	EMBJFE_00169	711.0	1.3e-258	0.987	1.0	1.0	UniRef:UniRef90_A0A858JIG6
contig_1	cds	184940	186061	-	EMBJFE_00170	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA38
contig_1	cds	186365	189607	+	EMBJFE_00171	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA28
contig_1	cds	189604	192906	+	EMBJFE_00172	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA63
contig_1	cds	192960	195122	-	EMBJFE_00173	1520.0	0.0	0.996	1.0	1.0	UniRef:UniRef90_A0A181CA26
contig_1	cds	195283	195513	+	EMBJFE_00174	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA65
contig_1	cds	195663	196994	-	EMBJFE_00175	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA43
contig_1	cds	197121	197951	+	EMBJFE_00176	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181C549
contig_1	cds	198168	198362	+	EMBJFE_00177	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA46
contig_1	cds	198682	199377	+	EMBJFE_00178	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA71
contig_1	cds	199374	200087	-	EMBJFE_00179	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA50
contig_1	cds	200335	201237	-	EMBJFE_00180	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JMQ6
contig_1	cds	201429	202484	+	EMBJFE_00181	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA27
contig_1	cds	202510	203565	+	EMBJFE_00182	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA19
contig_1	cds	203663	204577	+	EMBJFE_00183	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA52
contig_1	cds	204501	204680	-	EMBJFE_00184	62.0	1.3e-11	1.017	1.053	0.633	UniRef:UniRef90_UPI0013053A45
contig_1	cds	204987	206462	+	EMBJFE_00185	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA54
contig_1	cds	206552	207037	+	EMBJFE_00186	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA35
contig_1	cds	207614	209926	+	EMBJFE_00187	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JSF0
contig_1	cds	209994	210617	+	EMBJFE_00188	344.0	6.0e-118	1.0	0.809	1.0	UniRef:UniRef90_A0A858JN94
contig_1	cds	210634	211140	+	EMBJFE_00189	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA40
contig_1	cds	211146	211829	+	EMBJFE_00190	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA04
contig_1	cds	211962	212558	+	EMBJFE_00191	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA14
contig_1	cds	212616	213560	-	EMBJFE_00192	612.0	2.2e-221	0.997	1.0	1.0	UniRef:UniRef90_A0A858JMR6
contig_1	cds	213704	213826	-	EMBJFE_00193	-	-	-	-	-	-
contig_1	cds	213879	214580	+	EMBJFE_00194	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA01
contig_1	cds	214663	214845	+	EMBJFE_00195	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA44
contig_1	cds	214951	215283	+	EMBJFE_00196	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA24
contig_1	cds	215554	215934	+	EMBJFE_00197	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA29
contig_1	cds	216075	217097	+	EMBJFE_00198	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA51
contig_1	cds	217608	218468	+	EMBJFE_00199	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA30
contig_1	cds	218461	219729	+	EMBJFE_00200	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181C9Z6
contig_1	cds	219768	221231	-	EMBJFE_00201	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JJ76
contig_1	cds	221473	222933	-	EMBJFE_00202	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181C9Z9
contig_1	cds	223220	224407	+	EMBJFE_00203	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA32
contig_1	cds	224573	225499	+	EMBJFE_00204	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181C9Z3
contig_1	cds	225496	226620	+	EMBJFE_00205	736.0	3.5e-268	0.989	1.0	1.0	UniRef:UniRef90_A0A858JNN0
contig_1	cds	226717	228300	-	EMBJFE_00206	983.0	0.0	0.998	0.996	0.937	UniRef:UniRef90_G2I3S1
contig_1	cds	228300	229487	-	EMBJFE_00207	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA20
contig_1	cds	229487	232678	-	EMBJFE_00208	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA41
contig_1	cds	233037	234806	+	EMBJFE_00209	1162.0	0.0	0.961	1.0	1.0	UniRef:UniRef90_A0A858JKQ1
contig_1	cds	234809	235813	+	EMBJFE_00210	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JMZ4
contig_1	cds	235810	236784	+	EMBJFE_00211	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JLG5
contig_1	cds	236774	237796	+	EMBJFE_00212	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181C9Y9
contig_1	cds	237793	238770	+	EMBJFE_00213	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A858JFG1
contig_1	cds	238872	239633	+	EMBJFE_00214	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181C9Y4
contig_1	cds	239661	240584	+	EMBJFE_00215	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA21
contig_1	cds	240617	241021	+	EMBJFE_00216	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A181CA08
