#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_4	cds	14702	15337	-	CENAFE_00095	xerD	integrase	COG:COG4974, COG:L, RefSeq:WP_112209710.1, SO:0001217, UniParc:UPI0007DDC56A, UniRef:UniRef100_A0A181C5H4, UniRef:UniRef50_A0A2S3VX16, UniRef:UniRef90_A0A2S3VX16
contig_4	cds	15334	15654	-	CENAFE_00100	wGR	WGR domain, putative DNA-binding domain in MolR	COG:COG3831, COG:K, RefSeq:WP_172459677.1, SO:0001217, UniParc:UPI0007DD5926, UniRef:UniRef100_A0A181C5E1, UniRef:UniRef50_A3W687, UniRef:UniRef90_A0A0D6Q2H0
contig_4	cds	16027	17601	+	CENAFE_00105		cell filamentation protein Fic	COG:COG3177, COG:K, RefSeq:WP_007396290.1, SO:0001217, UniParc:UPI000208024B, UniRef:UniRef100_A0A181CES9, UniRef:UniRef50_W5YE24, UniRef:UniRef90_W5YE24
contig_4	cds	18630	19145	+	CENAFE_00110		Fic/DOC family protein	SO:0001217, UniRef:UniRef50_A0A256FW79
contig_4	cds	19488	20072	+	CENAFE_00115		resolvase	RefSeq:WP_034931163.1, SO:0001217, UniParc:UPI0004D6D83C, UniRef:UniRef100_A0A070A579, UniRef:UniRef50_A0A654DK54, UniRef:UniRef90_A0A2S3VYY9
contig_4	cds	20076	20678	+	CENAFE_00120		DUF4158 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7G9AB86
contig_4	cds	20656	21054	+	CENAFE_00125		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A511FRW1, UniRef:UniRef90_A0A511FRW1
contig_4	cds	21105	22427	-	CENAFE_00130		Transposase	SO:0001217, UniRef:UniRef50_W5YE25
contig_4	cds	22886	23164	-	CENAFE_00135		ATP-binding protein	SO:0001217, UniParc:UPI0003090B48, UniRef:UniRef100_A0A177G5R3, UniRef:UniRef50_A0A2W7QXR8, UniRef:UniRef90_A0A177G5R3
contig_4	cds	23161	23613	-	CENAFE_00140		ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A1S7TS16, UniRef:UniRef90_UPI000D7251B1
contig_4	cds	23640	24224	+	CENAFE_00145		hypothetical protein	
contig_7	cds	104	958	-	CENAFE_00150		Parvulin-like PPIase	RefSeq:WP_034927381.1, SO:0001217, UniParc:UPI00055663DF, UniRef:UniRef100_A0A149UQX4, UniRef:UniRef50_A0A511FRU2, UniRef:UniRef90_A0A1D8QWT8
contig_7	cds	968	1672	-	CENAFE_00155	narI	respiratory nitrate reductase subunit gamma	EC:1.7.5.1, EC:1.7.99.-, KEGG:K00374, RefSeq:WP_034927377.1, SO:0001217, UniParc:UPI0004DB11A5, UniRef:UniRef100_A0A070AH28, UniRef:UniRef50_A0A1Q2YSG6, UniRef:UniRef90_A0A511FRY5
contig_7	cds	1669	2364	-	CENAFE_00160	narJ	nitrate reductase molybdenum cofactor assembly chaperone	RefSeq:WP_007396165.1, SO:0001217, UniParc:UPI000207FF22, UniRef:UniRef100_A0A1D8QWZ0, UniRef:UniRef50_A0A4Y3TPW3, UniRef:UniRef90_A0A401WMP5
contig_7	cds	2367	3899	-	CENAFE_00165	narH	nitrate reductase subunit beta	RefSeq:WP_035366585.1, SO:0001217, UniParc:UPI00031B8410, UniRef:UniRef100_A0A401WMS6, UniRef:UniRef50_Q83RN5, UniRef:UniRef90_A0A149V6M4
contig_7	cds	3952	5487	-	CENAFE_00170	narZ	nitrate reductase subunit alpha	EC:1.7.5.1, EC:1.7.99.-, KEGG:K00370, SO:0001217, UniParc:UPI0007DFA92D, UniRef:UniRef100_A0A181C5W4, UniRef:UniRef50_A0A0G3EXN5, UniRef:UniRef90_A0A149UR44
contig_7	cds	6010	6321	+	CENAFE_00175	tnp-IS3	IS3 family transposase	SO:0001217, UniParc:UPI0001B5C0A1, UniRef:UniRef100_A0A0S3JPH5, UniRef:UniRef50_A0A0D6B0Z5, UniRef:UniRef90_Q5HXU6
contig_7	cds	6318	7196	+	CENAFE_00180	tnp-IS3	IS3 family transposase	COG:COG2963, COG:X, RefSeq:WP_007396151.1, SO:0001217, UniParc:UPI000207FF14, UniRef:UniRef100_A0A070A6K4, UniRef:UniRef50_A0A525CEL5, UniRef:UniRef90_W5YBP4
contig_7	cds	7299	8330	-	CENAFE_00185		IS110 family transposase	COG:COG3547, COG:X, RefSeq:WP_039998313.1, SO:0001217, UniParc:UPI0005869866, UniRef:UniRef100_A0A181C582, UniRef:UniRef50_A0A401X9K7, UniRef:UniRef90_W5YLJ3
contig_7	cds	8353	8847	-	CENAFE_00190		LZ-Tnp-IS66 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A318QIX5
contig_7	cds	9428	10594	-	CENAFE_00195		IS110 family transposase	RefSeq:WP_050800526.1, SO:0001217, UniParc:UPI00030F65AA, UniRef:UniRef100_A0A2D3HE37, UniRef:UniRef50_P55643, UniRef:UniRef90_A0A0N1N540
contig_7	cds	10616	10807	-	CENAFE_00200		Transposase	RefSeq:WP_083824534.1, SO:0001217, UniParc:UPI0005921A4A, UniRef:UniRef100_A0A0N0MFA2, UniRef:UniRef50_A0A158JAZ4, UniRef:UniRef90_A0A0N0MFA2
contig_7	cds	11322	11957	-	CENAFE_00205		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A181C594, UniRef:UniRef90_A0A181C594
contig_7	cds	12054	13127	-	CENAFE_00210		IS110 family transposase	COG:COG3547, COG:X, SO:0001217, UniParc:UPI0006C29CAD, UniRef:UniRef100_A0A0M0EGJ8, UniRef:UniRef50_A0A809Y1N9, UniRef:UniRef90_A0A094YQK1
contig_7	cds	13352	14593	-	CENAFE_00215	hipA	kinase	COG:COG3550, COG:T, EC:2.7.11.1, KEGG:K07154, SO:0001217, UniParc:UPI0007DD651C, UniRef:UniRef100_A0A070A271, UniRef:UniRef50_W2UGA2, UniRef:UniRef90_A0A0M0ECB7
contig_7	cds	14586	14789	-	CENAFE_00220	hipB	XRE family transcriptional regulator	COG:COG1396, COG:K, SO:0001217, UniParc:UPI0007DDFE52, UniRef:UniRef100_A0A070A895, UniRef:UniRef50_A0A2T4JD14, UniRef:UniRef90_W5YFA7
contig_7	cds	15603	15842	+	CENAFE_00225		hypothetical protein	RefSeq:WP_034933542.1, SO:0001217, UniParc:UPI0004D89DBE, UniRef:UniRef100_A0A857FTD9, UniRef:UniRef50_W5YEG9, UniRef:UniRef90_W5YEG9
contig_7	cds	15843	15977	+	CENAFE_00230		resolvase	RefSeq:WP_007396158.1, SO:0001217, UniParc:UPI000207FF1B, UniRef:UniRef100_A0A857FXB9, UniRef:UniRef50_W5YES6, UniRef:UniRef90_W5YES6
contig_7	cds	16042	16344	+	CENAFE_00235		hypothetical protein	SO:0001217, UniParc:UPI0006C2257F, UniRef:UniRef100_A0A0M0ED54, UniRef:UniRef50_A0A0M0ED54, UniRef:UniRef90_A0A0M0ED54
contig_7	cds	16197	17636	-	CENAFE_00240		hypothetical protein	RefSeq:WP_007396156.1, SO:0001217, UniParc:UPI000207FF19, UniRef:UniRef100_A0A0M0ECB2, UniRef:UniRef50_C7JJ35, UniRef:UniRef90_A0A318PIS7
contig_7	cds	17716	18009	-	CENAFE_00245		IS5 family transposase	SO:0001217, UniParc:UPI0003665EE4, UniRef:UniRef100_A0A0M0EC89, UniRef:UniRef50_A0A5C0AA13, UniRef:UniRef90_A0A1Y0XYM8
contig_7	cds	19038	19916	-	CENAFE_00250	tnp-IS3	IS3 family transposase	SO:0001217, UniRef:UniRef50_A0A091B185, UniRef:UniRef90_G6XFB1
contig_7	cds	19913	20224	-	CENAFE_00255	tnp-IS3	IS3 family transposase	SO:0001217, UniParc:UPI0001B5C0A1, UniRef:UniRef100_A0A0S3JPH5, UniRef:UniRef50_A0A0D6B0Z5, UniRef:UniRef90_Q5HXU6
contig_7	cds	20336	20704	-	CENAFE_00260	yeaO	DUF488 domain-containing protein	COG:COG3189, COG:S, RefSeq:WP_007396149.1, SO:0001217, UniParc:UPI000207FF13, UniRef:UniRef100_A0A070A8Q0, UniRef:UniRef50_A0A286RB89, UniRef:UniRef90_A0A070A8Q0
contig_7	cds	20707	21915	-	CENAFE_00265	hmpA	NO-inducible flavohemoprotein	RefSeq:WP_007396148.1, SO:0001217, UniParc:UPI000207FF12, UniRef:UniRef100_A0A181C614, UniRef:UniRef50_A0A0K1EDM3, UniRef:UniRef90_A0A181C614
contig_7	cds	22607	23827	+	CENAFE_00270		MFS transporter	RefSeq:WP_112209761.1, SO:0001217, UniParc:UPI0007DF058C, UniRef:UniRef100_A0A181C643, UniRef:UniRef50_C1DHD2, UniRef:UniRef90_A0A0U4Y720
contig_7	cds	23850	25490	+	CENAFE_00275		Alginate-exp domain-containing protein	RefSeq:WP_112209758.1, SO:0001217, UniParc:UPI0007E0A4C3, UniRef:UniRef100_A0A181C638, UniRef:UniRef50_A0A0S6TEG5, UniRef:UniRef90_A0A070A3W1
contig_7	cds	25520	28417	+	CENAFE_00280	nirB,nirD	nitrite reductase (NAD(P)H)	EC:1.7.1.15, KEGG:K00362, RefSeq:WP_112209760.1, SO:0001217, UniParc:UPI0007E05707, UniRef:UniRef100_A0A181C616, UniRef:UniRef50_A0A495XWR3, UniRef:UniRef90_A0A181C616
contig_7	cds	28422	32399	+	CENAFE_00285		molybdopterin oxidoreductase	RefSeq:WP_034932169.1, SO:0001217, UniParc:UPI0004D40177, UniRef:UniRef100_A0A070AAG6, UniRef:UniRef50_S6AH60, UniRef:UniRef90_A0A0M0EDG2
contig_7	cds	32399	33010	+	CENAFE_00290		response regulator	RefSeq:WP_010515344.1, SO:0001217, UniParc:UPI000237D87F, UniRef:UniRef100_A0A3T0KJX7, UniRef:UniRef50_A0A401WP40, UniRef:UniRef90_A0A0M0EED4
contig_7	cds	33007	34002	+	CENAFE_00295		nitrate ABC transporter ATP-binding protein	RefSeq:WP_019092084.1, SO:0001217, UniParc:UPI0003081626, UniRef:UniRef100_A0A3T0KJY0, UniRef:UniRef50_A0A347WEL7, UniRef:UniRef90_A0A347WEL7
contig_7	cds	34024	34482	+	CENAFE_00300		Conserved nitrate reductase-associated protein (Nitr_red_assoc)	RefSeq:WP_034932173.1, SO:0001217, UniParc:UPI0004D9DD75, UniRef:UniRef100_A0A070A5I7, UniRef:UniRef50_A0A070A5I7, UniRef:UniRef90_A0A070A5I7
contig_7	cds	34581	35411	+	CENAFE_00305		IS5-like element IS1032 family transposase	COG:COG3293, COG:X, RefSeq:WP_039998273.1, SO:0001217, UniParc:UPI00030568FB, UniRef:UniRef100_A0A2D3HGD9, UniRef:UniRef50_A0A173L1H7, UniRef:UniRef90_Q44566
contig_7	cds	35461	35964	-	CENAFE_00310		Gluconokinase	EC:2.7.1.12, KEGG:K00851, SO:0001217, UniParc:UPI0007DCF8D9, UniRef:UniRef100_A0A181CCZ7, UniRef:UniRef50_A0A2S3VZV0, UniRef:UniRef90_A0A0M0ED43
contig_7	cds	36000	36809	-	CENAFE_00315		IS5 family transposase	SO:0001217, UniParc:UPI0004D7A180, UniRef:UniRef100_A0A070AAH1, UniRef:UniRef50_A0A2S3W1Q4, UniRef:UniRef90_A0A7W4PMV1
contig_7	cds	37133	38212	-	CENAFE_00320		IS5 family transposase	COG:COG3666, COG:X, SO:0001217, UniRef:UniRef50_A0A6S6PNW1, UniRef:UniRef90_A0A149SAC0
contig_7	cds	38482	39420	+	CENAFE_00325		Cytochrome bd-II ubiquinol oxidase subunit 1	EC:7.1.1.7, KEGG:K00425, SO:0001217, UniParc:UPI0007E2942C, UniRef:UniRef100_A0A181C5C6, UniRef:UniRef50_A0A181C5C6, UniRef:UniRef90_A0A181C5C6
contig_7	cds	39407	39553	+	CENAFE_00330		hypothetical protein	SO:0001217, UniParc:UPI000312CCEC, UniRef:UniRef100_A0A0M0EBR8, UniRef:UniRef50_A0A0M0EBR8, UniRef:UniRef90_A0A0M0EBR8
contig_7	cds	39722	40738	-	CENAFE_00335		IS110 family transposase	COG:COG3547, COG:X, RefSeq:WP_053324033.1, SO:0001217, UniParc:UPI0006A6FA33, UniRef:UniRef100_A0A0M0EBM0, UniRef:UniRef50_A0A508TBL9, UniRef:UniRef90_W5YDU7
contig_7	cds	40934	41713	+	CENAFE_00340	baeS	sensor histidine kinase	COG:COG0642, COG:T, SO:0001217, UniParc:UPI0007DD88F4, UniRef:UniRef100_A0A857FUN8, UniRef:UniRef50_A0A318QP93, UniRef:UniRef90_A0A0M0EE52
contig_7	cds	41904	42815	+	CENAFE_00345		Sulfite exporter TauE/SafE	RefSeq:WP_010509936.1, SO:0001217, UniParc:UPI000237ED86, UniRef:UniRef100_A0A0D6Q1B2, UniRef:UniRef50_G2I831, UniRef:UniRef90_G2I831
contig_7	cds	42860	43042	+	CENAFE_00350		Transposase	SO:0001217, UniParc:UPI0001D3223E, UniRef:UniRef100_A0A0D6Q016, UniRef:UniRef50_A3K9M4, UniRef:UniRef90_A0A0D6Q016
contig_7	cds	43284	43484	+	CENAFE_00355		Transposase	SO:0001217, UniParc:UPI0001D32243, UniRef:UniRef100_A0A0D6PZM9, UniRef:UniRef50_A0A0D6PZM9, UniRef:UniRef90_A0A0D6PZM9
contig_7	cds	43854	44465	+	CENAFE_00360		IS5 family transposase	SO:0001217, UniParc:UPI00031E3B5F, UniRef:UniRef100_A0A149RVJ3, UniRef:UniRef50_A0A095B2F7, UniRef:UniRef90_A0A0S3JPA9
contig_7	cds	44472	45305	-	CENAFE_00365		IS630 family transposase	SO:0001217, UniParc:UPI0007DD0784, UniRef:UniRef100_A0A181C9D6, UniRef:UniRef50_A0A1C3P3P8, UniRef:UniRef90_A0A181C9D6
contig_7	cds	45473	46687	+	CENAFE_00370	iS285	IS256 family transposase	COG:COG3328, COG:X, RefSeq:WP_061276891.1, SO:0001217, UniParc:UPI000774C022, UniRef:UniRef100_A0A318PHY8, UniRef:UniRef50_A8ZL25, UniRef:UniRef90_A0A0C1UX99
contig_7	cds	46727	46906	-	CENAFE_00375		Putative transposase	SO:0001217, UniParc:UPI0007DDE5AC, UniRef:UniRef100_A0A181C9C4, UniRef:UniRef50_H0GBQ9, UniRef:UniRef90_A0A181C9C4
contig_7	cds	47782	49119	-	CENAFE_00380	baeS	two-component sensor histidine kinase	COG:COG0642, COG:T, RefSeq:WP_007396722.1, SO:0001217, UniParc:UPI000207F913, UniRef:UniRef100_W5YM09, UniRef:UniRef50_A0A318PKW1, UniRef:UniRef90_A0A0M0EE47
contig_7	cds	49116	49787	-	CENAFE_00385	ompR	DNA-binding response regulator	COG:COG0745, COG:TK, RefSeq:WP_007396721.1, SO:0001217, UniParc:UPI000207F912, UniRef:UniRef100_A0A318PGG1, UniRef:UniRef50_A0A6P5WAV2, UniRef:UniRef90_A0A2S3W1Q8
contig_7	cds	49787	52861	-	CENAFE_00390	cusA	CusA/CzcA family heavy metal efflux RND transporter	COG:COG3696, COG:P, RefSeq:WP_007396720.1, SO:0001217, UniParc:UPI000207F911, UniRef:UniRef100_A0A858JGB4, UniRef:UniRef50_A0A181C5G6, UniRef:UniRef90_A0A181C5G6
contig_7	cds	52861	54012	-	CENAFE_00395	acrA	efflux transporter periplasmic adaptor subunit	COG:COG0845, COG:MV, RefSeq:WP_019086194.1, SO:0001217, UniParc:UPI0002FF7ED3, UniRef:UniRef100_A0A0N1N2X7, UniRef:UniRef50_A0A1Y0Y9P1, UniRef:UniRef90_A0A371YZN9
contig_7	cds	54009	55265	-	CENAFE_00400	tolC	cobalt transporter	COG:COG1538, COG:M, RefSeq:WP_019086195.1, SO:0001217, UniParc:UPI0002D402C7, UniRef:UniRef100_W5YF49, UniRef:UniRef50_W5YF49, UniRef:UniRef90_W5YF49
contig_7	cds	55277	55780	-	CENAFE_00405		hypothetical protein	RefSeq:WP_223846646.1, SO:0001217, UniParc:UPI0003EA427D, UniRef:UniRef100_W5YM03, UniRef:UniRef50_G2I2Y9, UniRef:UniRef90_G2I819
contig_7	cds	55952	56386	-	CENAFE_00410		Transposase	SO:0001217, UniParc:UPI0002F110F3, UniRef:UniRef100_W5YEB9, UniRef:UniRef50_A0A370G5R9, UniRef:UniRef90_G2I818
contig_7	cds	57386	57538	-	CENAFE_00415		Transcriptional regulator	RefSeq:WP_053323998.1, SO:0001217, UniParc:UPI0005E7AD5C, UniRef:UniRef100_A0A0D6Q253, UniRef:UniRef50_W5YEK9, UniRef:UniRef90_W5YEK9
contig_7	cds	57608	58276	-	CENAFE_00420		MucR family transcriptional regulator	RefSeq:WP_110569788.1, SO:0001217, UniParc:UPI0007DCD9FA, UniRef:UniRef100_A0A181C9A5, UniRef:UniRef50_A0A0M0EDH8, UniRef:UniRef90_A0A0M0EDH8
contig_7	cds	58661	58960	-	CENAFE_00425	wGR	WGR domain, putative DNA-binding domain in MolR	COG:COG3831, COG:K, RefSeq:WP_112209951.1, SO:0001217, UniParc:UPI0007DCDDE5, UniRef:UniRef100_A0A181C9B3, UniRef:UniRef50_G2I815, UniRef:UniRef90_G2I815
contig_7	cds	59502	59891	+	CENAFE_00430		hypothetical protein	RefSeq:WP_110569790.1, SO:0001217, UniParc:UPI0007DCF5B9, UniRef:UniRef100_A0A181C9D1, UniRef:UniRef50_A0A3T0KJX2, UniRef:UniRef90_W5YLZ7
contig_7	cds	59953	60957	+	CENAFE_00435	dsbG	thiol:disulfide interchange protein	COG:COG1651, COG:O, KEGG:K03805, RefSeq:WP_172459709.1, SO:0001217, UniParc:UPI0007DDADE5, UniRef:UniRef100_A0A181C9A3, UniRef:UniRef50_A0A0M0EDH7, UniRef:UniRef90_A0A0M0EDH7
contig_7	cds	60954	61490	+	CENAFE_00440		hypothetical protein	RefSeq:WP_110569791.1, SO:0001217, UniParc:UPI0007DD617D, UniRef:UniRef100_A0A181C982, UniRef:UniRef50_W5YEK5, UniRef:UniRef90_W5YEK5
contig_7	cds	62255	62419	-	CENAFE_00445		hypothetical protein	SO:0001217, UniParc:UPI0007DE0863, UniRef:UniRef100_A0A347WGH0, UniRef:UniRef50_A0A0N1FD55, UniRef:UniRef90_A0A347WGH0
contig_7	cds	62741	63238	-	CENAFE_00450		hypothetical protein	RefSeq:WP_112209948.1, SO:0001217, UniParc:UPI000DD32DB4, UniRef:UniRef100_A0A371YZQ4, UniRef:UniRef50_A0A3T0KK12, UniRef:UniRef90_A0A0M0EDH4
contig_7	cds	63262	65622	-	CENAFE_00455		hypothetical protein	RefSeq:WP_110095200.1, SO:0001217, UniParc:UPI0007DCEEA1, UniRef:UniRef100_A0A857FSM2, UniRef:UniRef50_C7JI82, UniRef:UniRef90_G2I809
contig_7	cds	65645	67057	-	CENAFE_00460		hypothetical protein	RefSeq:WP_112209946.1, SO:0001217, UniParc:UPI0007DD0444, UniRef:UniRef100_A0A181C981, UniRef:UniRef50_G2I808, UniRef:UniRef90_G2I808
contig_7	cds	67068	68252	-	CENAFE_00465		hypothetical protein	RefSeq:WP_112209944.1, SO:0001217, UniParc:UPI0007DD949C, UniRef:UniRef100_A0A181C9B6, UniRef:UniRef50_A0A1D8UXU9, UniRef:UniRef90_W5YEK1
contig_7	cds	68252	68839	-	CENAFE_00470		hypothetical protein	RefSeq:WP_010515543.1, SO:0001217, UniParc:UPI000237E378, UniRef:UniRef100_A0A318PGU5, UniRef:UniRef50_A0A1Y0V1T2, UniRef:UniRef90_G2I806
contig_7	cds	68836	69180	-	CENAFE_00475		hypothetical protein	RefSeq:WP_010515542.1, SO:0001217, UniParc:UPI000237E377, UniRef:UniRef100_A0A0N1FCE2, UniRef:UniRef50_G2I805, UniRef:UniRef90_G2I805
contig_7	cds	69224	69601	+	CENAFE_00480		hypothetical protein	RefSeq:WP_061275214.1, SO:0001217, UniParc:UPI000774C065, UniRef:UniRef100_A0A318PGX1, UniRef:UniRef50_A0A070A746, UniRef:UniRef90_A0A318PGX1
contig_7	cds	69945	70748	+	CENAFE_00485	aMBF1	Anaerobic benzoate catabolism transcriptional regulator	COG:COG1813, COG:J, RefSeq:WP_026019698.1, SO:0001217, UniParc:UPI000474C456, UniRef:UniRef100_A0A181C9C1, UniRef:UniRef50_G2I804, UniRef:UniRef90_G2I804
contig_7	cds	70996	71874	+	CENAFE_00490		hypothetical protein	RefSeq:WP_172459708.1, SO:0001217, UniParc:UPI0007DE11BF, UniRef:UniRef100_A0A181C993, UniRef:UniRef50_G2I803, UniRef:UniRef90_G2I803
contig_7	cds	72007	72642	+	CENAFE_00495		Type IV secretion protein DotI	RefSeq:WP_053323851.1, SO:0001217, UniParc:UPI0006A70AEF, UniRef:UniRef100_A0A3T0KK58, UniRef:UniRef50_W5YEX2, UniRef:UniRef90_W5YEX2
contig_7	cds	72648	73619	+	CENAFE_00500		type IV secretion protein DotH	KEGG:K12213, SO:0001217, UniParc:UPI0007DE121A, UniRef:UniRef100_A0A181C969, UniRef:UniRef50_G2I801, UniRef:UniRef90_G2I801
contig_7	cds	73619	74857	+	CENAFE_00505		Type IV secretion protein DotG	KEGG:K12209, RefSeq:WP_112209940.1, SO:0001217, UniParc:UPI0007DD3A81, UniRef:UniRef100_A0A181C964, UniRef:UniRef50_W5YLX5, UniRef:UniRef90_W5YLX5
contig_7	cds	74924	76090	+	CENAFE_00510		hypothetical protein	SO:0001217, UniRef:UniRef50_G2I7Z9, UniRef:UniRef90_G2I7Z9
contig_7	cds	76108	76653	+	CENAFE_00515		hypothetical protein	RefSeq:WP_010515535.1, SO:0001217, UniParc:UPI000237E371, UniRef:UniRef100_A0A318PZL7, UniRef:UniRef50_G2I7Z8, UniRef:UniRef90_G2I7Z8
contig_7	cds	77119	77214	+	CENAFE_00520		hypothetical protein	SO:0001217, UniParc:UPI0005921E5A, UniRef:UniRef100_A0A0N0MGN3, UniRef:UniRef50_A0A0N0MGN3, UniRef:UniRef90_A0A0N0MGN3
contig_7	cds	77801	78079	+	CENAFE_00525		Transcriptional regulator	RefSeq:WP_039736545.1, SO:0001217, UniParc:UPI000584464A, UniRef:UniRef100_A0A3T0KJX1, UniRef:UniRef90_A0A644VNK1
contig_7	cds	78267	78737	+	CENAFE_00530		hypothetical protein	RefSeq:WP_112209937.1, SO:0001217, UniParc:UPI0007DD91FB, UniRef:UniRef100_A0A3T0KK26, UniRef:UniRef50_A0A0S3JPM1, UniRef:UniRef90_W5YEW7
contig_7	cds	78751	79413	+	CENAFE_00535		hypothetical protein	SO:0001217, UniParc:UPI0007DE3222, UniRef:UniRef100_A0A3T0KK33, UniRef:UniRef50_G2I7Z4, UniRef:UniRef90_G2I7Z4
contig_7	cds	79231	79830	-	CENAFE_00540		hypothetical protein	
