#Annotated with Bakta v1.6.1, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_7	68252	68839	-	CENAFE_00470	19.2	4.5		RefSeq:WP_010515543.1, SO:0001217, UniParc:UPI000237E378, UniRef:UniRef100_A0A318PGU5, UniRef:UniRef50_A0A1Y0V1T2, UniRef:UniRef90_G2I806
contig_7	68836	69180	-	CENAFE_00475	12.5	5.9		RefSeq:WP_010515542.1, SO:0001217, UniParc:UPI000237E377, UniRef:UniRef100_A0A0N1FCE2, UniRef:UniRef50_G2I805, UniRef:UniRef90_G2I805
contig_7	69224	69601	+	CENAFE_00480	13.8	6.0		RefSeq:WP_061275214.1, SO:0001217, UniParc:UPI000774C065, UniRef:UniRef100_A0A318PGX1, UniRef:UniRef50_A0A070A746, UniRef:UniRef90_A0A318PGX1
contig_7	70996	71874	+	CENAFE_00490	33.6	10.3		RefSeq:WP_172459708.1, SO:0001217, UniParc:UPI0007DE11BF, UniRef:UniRef100_A0A181C993, UniRef:UniRef50_G2I803, UniRef:UniRef90_G2I803
contig_7	74924	76090	+	CENAFE_00510	41.0	8.8		SO:0001217, UniRef:UniRef50_G2I7Z9, UniRef:UniRef90_G2I7Z9
contig_7	76108	76653	+	CENAFE_00515	19.5	5.6		RefSeq:WP_010515535.1, SO:0001217, UniParc:UPI000237E371, UniRef:UniRef100_A0A318PZL7, UniRef:UniRef50_G2I7Z8, UniRef:UniRef90_G2I7Z8
contig_7	77119	77214	+	CENAFE_00520	3.5	8.3		SO:0001217, UniParc:UPI0005921E5A, UniRef:UniRef100_A0A0N0MGN3, UniRef:UniRef50_A0A0N0MGN3, UniRef:UniRef90_A0A0N0MGN3
contig_7	78267	78737	+	CENAFE_00530	15.8	10.0		RefSeq:WP_112209937.1, SO:0001217, UniParc:UPI0007DD91FB, UniRef:UniRef100_A0A3T0KK26, UniRef:UniRef50_A0A0S3JPM1, UniRef:UniRef90_W5YEW7
contig_7	78751	79413	+	CENAFE_00535	24.1	9.0		SO:0001217, UniParc:UPI0007DE3222, UniRef:UniRef100_A0A3T0KK33, UniRef:UniRef50_G2I7Z4, UniRef:UniRef90_G2I7Z4
contig_7	79231	79830	-	CENAFE_00540	22.6	11.3		
contig_9	9614	9955	-	CENAFE_00595	12.8	7.8		SO:0001217, UniParc:UPI000587BF57, UniRef:UniRef100_A0A070A2S3, UniRef:UniRef50_A0A070A2S3, UniRef:UniRef90_A0A070A2S3
contig_9	16988	17164	-	CENAFE_00630	7.0	10.3		RefSeq:WP_159104948.1, SO:0001217, UniParc:UPI0007DCCE4B, UniRef:UniRef100_A0A181CEH1, UniRef:UniRef50_A0A181CEH1, UniRef:UniRef90_A0A181CEH1
contig_9	17401	18099	-	CENAFE_00635	25.8	9.0		RefSeq:WP_007400691.1, SO:0001217, UniParc:UPI0001D321EC, UniRef:UniRef100_A0A070A529, UniRef:UniRef50_S6D6R2, UniRef:UniRef90_A0A070A529
contig_9	24254	24814	-	CENAFE_00650	19.6	12.0		
contig_3	2187	2708	-	CENAFE_00665	19.8	11.0		
contig_16	518	1102	+	CENAFE_00675	21.4	9.9		RefSeq:WP_223846566.1, SO:0001217, UniParc:UPI0007DD9F36, UniRef:UniRef100_A0A181CEL6, UniRef:UniRef50_A0A318Q4N5, UniRef:UniRef90_A0A318Q4N5
contig_16	1936	2430	+	CENAFE_00685	18.1	9.0		RefSeq:WP_078524628.1, SO:0001217, UniParc:UPI0007DD152F, UniRef:UniRef100_A0A181CEK1, UniRef:UniRef50_W5YLU4, UniRef:UniRef90_W5YLU4
contig_16	3367	3774	+	CENAFE_00695	14.8	9.8		RefSeq:WP_112210230.1, SO:0001217, UniParc:UPI0007DD9AE3, UniRef:UniRef100_A0A181CEP8, UniRef:UniRef50_G2I7V1, UniRef:UniRef90_G2I7V1
contig_16	4127	4429	-	CENAFE_00700	11.1	4.6		RefSeq:WP_102325775.1, SO:0001217, UniParc:UPI0007DDA56A, UniRef:UniRef100_A0A181CEG9, UniRef:UniRef50_A0A4P5NRR6, UniRef:UniRef90_A0A4P5NRR6
contig_16	4500	5180	-	CENAFE_00705	24.2	6.2		RefSeq:WP_010511735.1, SO:0001217, UniParc:UPI000237DD45, UniRef:UniRef100_A0A857FSB5, UniRef:UniRef50_G2I7U9, UniRef:UniRef90_G2I7U9
contig_16	8495	8929	-	CENAFE_00730	16.3	4.2		RefSeq:WP_112210258.1, SO:0001217, UniParc:UPI0007DD710C, UniRef:UniRef100_A0A181CEH8, UniRef:UniRef50_W5YEZ5, UniRef:UniRef90_W5YEZ5
contig_1	14963	15415	+	CENAFE_00835	16.2	5.5		RefSeq:WP_007399361.1, SO:0001217, UniParc:UPI000207F9AE, UniRef:UniRef100_A0A070A237, UniRef:UniRef50_A0A252AUZ1, UniRef:UniRef90_A0A070A237
contig_1	16867	17367	+	CENAFE_00850	17.5	10.1		RefSeq:WP_007399358.1, SO:0001217, UniParc:UPI000207F9AB, UniRef:UniRef100_A0A070A2N7, UniRef:UniRef50_G2I3I5, UniRef:UniRef90_A0A070A2N7
contig_1	19579	20046	+	CENAFE_00860	17.5	6.4		SO:0001217, UniParc:UPI000207F9A8, UniRef:UniRef100_A0A181C8P1, UniRef:UniRef50_W5Y715, UniRef:UniRef90_G2I3I3
contig_1	21386	21490	-	CENAFE_00870	3.6	4.2		SO:0001217, UniParc:UPI0007DCE168, UniRef:UniRef100_A0A181C8Q1, UniRef:UniRef50_A0A181C8Q1, UniRef:UniRef90_A0A181C8Q1
contig_1	22468	23628	+	CENAFE_00880	43.4	8.9		RefSeq:WP_007399350.1, SO:0001217, UniParc:UPI000207F9A3, UniRef:UniRef100_A0A2D3HFR2, UniRef:UniRef50_F1YQV4, UniRef:UniRef90_G2I3I0
contig_1	43086	43583	-	CENAFE_00970	16.9	8.6		RefSeq:WP_039999398.1, SO:0001217, UniParc:UPI0002D75CB5, UniRef:UniRef100_A0A2D3HFL9, UniRef:UniRef50_A0A070A3Q8, UniRef:UniRef90_A0A070A3Q8
contig_1	86374	86679	-	CENAFE_01170	11.9	8.9		SO:0001217, UniRef:UniRef50_A0A070A1U6, UniRef:UniRef90_A0A070A1U6
contig_1	87482	87976	-	CENAFE_01180	18.1	6.9		RefSeq:WP_007399276.1, SO:0001217, UniParc:UPI00020809BC, UniRef:UniRef100_A0A2D3HFS1, UniRef:UniRef50_G2I2W0, UniRef:UniRef90_G2I2W0
contig_1	92270	92725	-	CENAFE_01200	15.7	9.9		RefSeq:WP_007399272.1, SO:0001217, UniParc:UPI00020809B8, UniRef:UniRef100_A0A2D3HFJ5, UniRef:UniRef50_A9HJX9, UniRef:UniRef90_G2I2V6
contig_1	121699	121860	-	CENAFE_01320	6.0	8.0		RefSeq:WP_007399242.1, SO:0001217, UniParc:UPI00020808B3, UniRef:UniRef100_A0A181C8F4, UniRef:UniRef50_A0A181C8F4, UniRef:UniRef90_A0A181C8F4
contig_1	125680	126762	+	CENAFE_01345	37.9	9.6		RefSeq:WP_007399236.1, SO:0001217, UniParc:UPI00020808AD, UniRef:UniRef100_A0A2D3HFV0, UniRef:UniRef50_A9HK68, UniRef:UniRef90_A0A2D3HFV0
contig_1	148752	149903	+	CENAFE_01430	41.0	6.3	PF03022.19|MRJP	PFAM:PF03022.19, RefSeq:WP_039999361.1, SO:0001217, UniParc:UPI0002DEE342, UniRef:UniRef100_A0A2D3HG41, UniRef:UniRef50_A0A070A3D1, UniRef:UniRef90_A0A070A3D1
contig_1	155566	155715	-	CENAFE_01455	5.3	10.6		RefSeq:WP_007399212.1, SO:0001217, UniParc:UPI0002080791, UniRef:UniRef100_A0A181C8D1, UniRef:UniRef50_G2I2Q5, UniRef:UniRef90_A0A181C8D1
contig_1	181656	181760	+	CENAFE_01565	3.8	10.7		SO:0001217, UniParc:UPI0007DCCE52, UniRef:UniRef100_A0A181C895, UniRef:UniRef50_A0A181C895, UniRef:UniRef90_A0A181C895
contig_1	184229	184870	-	CENAFE_01585	22.9	10.3		RefSeq:WP_007399186.1, SO:0001217, UniParc:UPI0002080777, UniRef:UniRef100_A0A070A6L4, UniRef:UniRef50_G2I2N1, UniRef:UniRef90_G2I2N1
contig_1	191444	191671	+	CENAFE_01625	8.3	11.0		RefSeq:WP_166498127.1, SO:0001217, UniParc:UPI0002DF0CE1, UniRef:UniRef100_A0A2D3HFQ4, UniRef:UniRef50_G2I2M3, UniRef:UniRef90_A0A2D3HFQ4
contig_1	226536	226751	-	CENAFE_01805	7.0	8.0		RefSeq:WP_007399137.1, SO:0001217, UniParc:UPI0002080547, UniRef:UniRef100_A0A2D3HII5, UniRef:UniRef50_G2I2I7, UniRef:UniRef90_A0A2D3HII5
contig_1	238849	239202	-	CENAFE_01850	12.2	4.1		RefSeq:WP_007399121.1, SO:0001217, UniParc:UPI0002080537, UniRef:UniRef100_A0A2D3HG80, UniRef:UniRef50_G2I2H8, UniRef:UniRef90_A0A2D3HG80
contig_1	247157	247579	-	CENAFE_01890	15.5	4.4		SO:0001217, UniParc:UPI0007DD9B64, UniRef:UniRef100_A0A181C804, UniRef:UniRef50_A0A1Q3V0I5, UniRef:UniRef90_W5YD57
contig_1	250586	250930	+	CENAFE_01905	12.0	4.9		RefSeq:WP_007399107.1, SO:0001217, UniParc:UPI0002080529, UniRef:UniRef100_A0A2D3HG12, UniRef:UniRef50_G2I210, UniRef:UniRef90_G2I210
contig_1	274943	275590	-	CENAFE_02010	23.6	7.9		RefSeq:WP_007399077.1, SO:0001217, UniParc:UPI0002080411, UniRef:UniRef100_A0A2D3HGE0, UniRef:UniRef50_G2I1Y8, UniRef:UniRef90_A0A070A4L4
contig_1	290120	290479	-	CENAFE_02055	11.9	6.6		RefSeq:WP_007399064.1, SO:0001217, UniParc:UPI0002080404, UniRef:UniRef100_A0A2D3HFZ7, UniRef:UniRef50_W5Y574, UniRef:UniRef90_A0A070A4Z4
contig_1	327467	327922	-	CENAFE_02220	15.6	5.3		RefSeq:WP_223846625.1, SO:0001217, UniParc:UPI0007DD35BC, UniRef:UniRef100_A0A2D3HIN0, UniRef:UniRef50_A0A347W979, UniRef:UniRef90_G2I1U7
contig_1	333195	333659	-	CENAFE_02245	15.8	9.1		RefSeq:WP_034928999.1, SO:0001217, UniParc:UPI0002DC84D0, UniRef:UniRef100_A0A2D3HGF4, UniRef:UniRef50_W5Y543, UniRef:UniRef90_A0A2D3HGF4
contig_1	343486	345360	+	CENAFE_02295	67.4	5.9		SO:0001217, UniParc:UPI0007DDB0BA, UniRef:UniRef100_A0A2D3HGJ0, UniRef:UniRef50_A0A1D8UWS9, UniRef:UniRef90_G2I1T3
contig_1	345476	345823	+	CENAFE_02300	12.9	7.0		SO:0001217, UniParc:UPI00020801DD, UniRef:UniRef100_A0A181C7S6, UniRef:UniRef50_G2I1T2, UniRef:UniRef90_G2I1T2
contig_1	355232	355372	-	CENAFE_02345	5.2	9.8		
contig_1	378665	379195	+	CENAFE_02445	17.5	8.7		RefSeq:WP_083824470.1, SO:0001217, UniParc:UPI0002DCC072, UniRef:UniRef100_A0A2D3HIH3, UniRef:UniRef50_W5Y503, UniRef:UniRef90_A0A070A4R6
contig_1	391864	392343	+	CENAFE_02490	16.0	9.7		RefSeq:WP_034928908.1, SO:0001217, UniParc:UPI0003068AC8, UniRef:UniRef100_A0A2D3HGJ3, UniRef:UniRef50_A0A5C1YNQ6, UniRef:UniRef90_A0A2D3HGJ3
contig_1	416852	417433	+	CENAFE_02605	21.1	7.8		RefSeq:WP_039999238.1, SO:0001217, UniParc:UPI0003131001, UniRef:UniRef100_A0A2D3HGB4, UniRef:UniRef50_G2I1M2, UniRef:UniRef90_A0A070A493
contig_1	437514	437666	-	CENAFE_02690	5.2	5.6		RefSeq:WP_157772014.1, SO:0001217, UniParc:UPI0002FB6DFD, UniRef:UniRef100_A0A181C7M7, UniRef:UniRef50_A0A181C7M7, UniRef:UniRef90_A0A181C7M7
contig_1	440317	440796	-	CENAFE_02705	17.8	10.1		SO:0001217, UniRef:UniRef50_A0A181C8W7, UniRef:UniRef90_A0A181C8W7
contig_1	445485	446153	-	CENAFE_02725	25.8	8.7		RefSeq:WP_007398900.1, SO:0001217, UniParc:UPI000207FF9E, UniRef:UniRef100_A0A2D3HGB9, UniRef:UniRef50_G2I1H9, UniRef:UniRef90_A0A2D3HGB9
contig_1	446793	448361	+	CENAFE_02730	59.1	6.4		RefSeq:WP_007398898.1, SO:0001217, UniParc:UPI000207FF9C, UniRef:UniRef100_A0A2D3HGD6, UniRef:UniRef50_G2I1H8, UniRef:UniRef90_A0A070A404
contig_1	450128	450403	-	CENAFE_02745	9.5	7.9		RefSeq:WP_007398895.1, SO:0001217, UniParc:UPI000207FE9E, UniRef:UniRef100_A0A2D3HGQ8, UniRef:UniRef50_W5YC01, UniRef:UniRef90_A0A2D3HGQ8
contig_1	450431	450586	-	CENAFE_02750	5.9	11.2		RefSeq:WP_007398894.1, SO:0001217, UniParc:UPI000207FE9D, UniRef:UniRef100_A0A181C7N9, UniRef:UniRef50_W5YBT8, UniRef:UniRef90_A0A181C7N9
contig_1	450608	450892	-	CENAFE_02755	10.4	8.3		SO:0001217, UniParc:UPI0005874208, UniRef:UniRef100_A0A2D3HIM5, UniRef:UniRef50_G2I1H3, UniRef:UniRef90_G2I1H3
contig_1	451743	454229	+	CENAFE_02765	93.3	5.9		SO:0001217, UniParc:UPI0007DD69DB, UniRef:UniRef100_A0A2D3HGG2, UniRef:UniRef50_A0A2D3HGF3, UniRef:UniRef90_A0A2D3HGF3
contig_1	460421	461056	+	CENAFE_02785	23.5	7.6	PF00440.26|TetR_N	PFAM:PF00440.26
contig_1	461351	461683	-	CENAFE_02790	12.0	10.3		SO:0001217, UniParc:UPI0007DD6D36, UniRef:UniRef100_A0A181C7M5, UniRef:UniRef50_A0A2D3HGR6, UniRef:UniRef90_A0A2D3HGR6
contig_1	469276	469458	-	CENAFE_02835	6.5	4.6		RefSeq:WP_007398871.1, SO:0001217, UniParc:UPI000207FE86, UniRef:UniRef100_A0A2D3HGF5, UniRef:UniRef50_A0A2D3HGF5, UniRef:UniRef90_A0A2D3HGF5
contig_1	471469	471801	-	CENAFE_02850	11.9	10.2		SO:0001217, UniParc:UPI00068379FE, UniRef:UniRef100_A0A181CEG1, UniRef:UniRef50_A0A181CEG1, UniRef:UniRef90_A0A181CEG1
contig_1	471759	472052	-	CENAFE_02855	10.6	6.8		SO:0001217, UniParc:UPI0007DD8697, UniRef:UniRef100_A0A181CEH2, UniRef:UniRef50_A0A181CEH2, UniRef:UniRef90_A0A181CEH2
contig_1	472281	472691	-	CENAFE_02865	14.8	10.5		SO:0001217, UniParc:UPI0007DD08FB, UniRef:UniRef100_A0A181CEI8, UniRef:UniRef50_A0A181CEI8, UniRef:UniRef90_A0A181CEI8
contig_1	475608	476483	-	CENAFE_02880	33.1	6.7		SO:0001217, UniParc:UPI000586D6F0, UniRef:UniRef100_A0A181CEG7, UniRef:UniRef50_A0A858JRN5, UniRef:UniRef90_A0A858JRN5
contig_1	479733	480530	+	CENAFE_02905	31.1	4.8		RefSeq:WP_039999214.1, SO:0001217, UniParc:UPI00058697AB, UniRef:UniRef100_A0A181C667, UniRef:UniRef50_A0A0B1ZIY1, UniRef:UniRef90_A0A181C667
contig_1	506142	506645	+	CENAFE_03060	18.9	4.7	PF10722.12|YbjN	COG:COG5465, COG:R, PFAM:PF10722.12, RefSeq:WP_014106114.1, SO:0001217, UniParc:UPI0002294931, UniRef:UniRef100_A0A2D3HGJ6, UniRef:UniRef50_Q2RP70, UniRef:UniRef90_W5YCT1
contig_1	513350	513619	+	CENAFE_03100	10.4	9.2		RefSeq:WP_172459697.1, SO:0001217, UniParc:UPI0007DD37D8, UniRef:UniRef100_A0A181C7A2, UniRef:UniRef50_A0A0M0EGB9, UniRef:UniRef90_A0A181C7A2
contig_1	526354	526584	-	CENAFE_03170	8.4	4.8		RefSeq:WP_007398803.1, SO:0001217, UniParc:UPI000207FBDF, UniRef:UniRef100_A0A2D3HGU0, UniRef:UniRef50_A0A347W9N1, UniRef:UniRef90_G2I0Y9
contig_1	534213	534980	+	CENAFE_03210	27.4	7.8		RefSeq:WP_007398794.1, SO:0001217, UniParc:UPI000207FBD6, UniRef:UniRef100_A0A2D3HGK5, UniRef:UniRef50_G2I0Y1, UniRef:UniRef90_A0A070A3D8
contig_1	535061	535567	-	CENAFE_03215	18.8	9.3		RefSeq:WP_039999175.1, SO:0001217, UniParc:UPI0002FC2B12, UniRef:UniRef100_A0A2D3HIJ3, UniRef:UniRef50_A0A2D3HIJ3, UniRef:UniRef90_A0A2D3HIJ3
contig_1	535875	536096	+	CENAFE_03220	8.0	8.6		RefSeq:WP_034927156.1, SO:0001217, UniParc:UPI00030CB9A8, UniRef:UniRef100_A0A2D3HGH4, UniRef:UniRef50_A0A7W4IZ74, UniRef:UniRef90_A0A2D3HGH4
contig_1	542590	544578	+	CENAFE_03250	73.1	5.3		RefSeq:WP_146750199.1, SO:0001217, UniParc:UPI0007E19011, UniRef:UniRef100_A0A181C535, UniRef:UniRef50_A0A181C535, UniRef:UniRef90_A0A181C535
contig_1	544818	545042	-	CENAFE_03260	8.3	9.2		
contig_1	549397	550956	+	CENAFE_03290	58.1	8.9	PF13005.10|zf-IS66	PFAM:PF13005.10
contig_1	552774	554510	+	CENAFE_03305	65.4	9.9		RefSeq:WP_112209677.1, SO:0001217, UniParc:UPI0007E1E0CA, UniRef:UniRef100_A0A181C502, UniRef:UniRef50_A0A181C502, UniRef:UniRef90_A0A181C502
contig_1	558528	558734	-	CENAFE_03325	8.1	10.0		SO:0001217, UniParc:UPI000207FCAA, UniRef:UniRef100_A0A181C766, UniRef:UniRef50_A0A070A3Z1, UniRef:UniRef90_A0A070A3Z1
contig_1	565518	565730	-	CENAFE_03355	7.7	10.7		RefSeq:WP_007396870.1, SO:0001217, UniParc:UPI000207FCB0, UniRef:UniRef100_A0A2D3HGK8, UniRef:UniRef50_A0A2D3HGK8, UniRef:UniRef90_A0A2D3HGK8
contig_1	566170	566880	+	CENAFE_03360	25.4	5.6		SO:0001217, UniRef:UniRef50_A0A0D6Q5Z2, UniRef:UniRef90_A0A070AA27
contig_1	567114	567287	-	CENAFE_03365	6.5	12.0		RefSeq:WP_166498085.1, SO:0001217, UniParc:UPI000308B351, UniRef:UniRef100_A0A2D3HGM7, UniRef:UniRef50_A0A2D3HGM7, UniRef:UniRef90_A0A2D3HGM7
contig_1	568226	568510	+	CENAFE_03375	9.9	5.6		RefSeq:WP_007396877.1, SO:0001217, UniParc:UPI000207FDD8, UniRef:UniRef100_A0A2D3HGJ9, UniRef:UniRef50_A0A070A513, UniRef:UniRef90_A0A070A513
contig_1	569917	571263	+	CENAFE_03390	48.4	6.0		RefSeq:WP_007396880.1, SO:0001217, UniParc:UPI000207FDDB, UniRef:UniRef100_A0A2D3HGP1, UniRef:UniRef50_D5QBH8, UniRef:UniRef90_G2I0R1
contig_1	582453	582716	-	CENAFE_03460	9.5	4.4		RefSeq:WP_034927110.1, SO:0001217, UniParc:UPI0002D886AA, UniRef:UniRef100_A0A2D3HGQ5, UniRef:UniRef50_W5YCB8, UniRef:UniRef90_A0A2D3HGQ5
contig_1	582773	583189	+	CENAFE_03465	14.1	6.4		RefSeq:WP_223846611.1, SO:0001217, UniParc:UPI0007DDBEF7, UniRef:UniRef100_A0A181C712, UniRef:UniRef50_G2I0P8, UniRef:UniRef90_A0A070A396
contig_1	590825	591460	-	CENAFE_03510	22.7	5.4		RefSeq:WP_007396907.1, SO:0001217, UniParc:UPI000207FDF6, UniRef:UniRef100_A0A181C702, UniRef:UniRef50_A0A365YXN3, UniRef:UniRef90_A0A070A4W6
contig_1	610805	611086	+	CENAFE_03610	10.5	11.7		RefSeq:WP_039998481.1, SO:0001217, UniParc:UPI0002EEDC74, UniRef:UniRef100_A0A2D3HGR8, UniRef:UniRef50_A0A511X791, UniRef:UniRef90_W5YCF0
contig_1	613261	613857	+	CENAFE_03620	20.9	5.8		RefSeq:WP_223846609.1, SO:0001217, UniParc:UPI001CC2C752, UniRef:UniRef100_UPI001CC2C752, UniRef:UniRef50_A0A371YWC0, UniRef:UniRef90_UPI001CC2C752
contig_1	623749	624102	-	CENAFE_03665	12.3	8.8		
contig_1	630205	630432	+	CENAFE_03700	8.5	5.8		RefSeq:WP_007396949.1, SO:0001217, UniParc:UPI000207FF47, UniRef:UniRef100_A0A2D3HH22, UniRef:UniRef50_A0A023D5U5, UniRef:UniRef90_W5YCX9
contig_1	642446	643633	-	CENAFE_03770	40.7	9.3		RefSeq:WP_223846607.1, SO:0001217, UniParc:UPI000317C7C5, UniRef:UniRef100_A0A2D3HH32, UniRef:UniRef50_A0A0M0EGB5, UniRef:UniRef90_A0A070A9S2
contig_1	652196	652576	-	CENAFE_03795	12.9	9.3		RefSeq:WP_007396972.1, SO:0001217, UniParc:UPI000208004E, UniRef:UniRef100_A0A2D3HGT5, UniRef:UniRef50_A0A347W9Y4, UniRef:UniRef90_A0A2D3HGT5
contig_1	671655	672503	-	CENAFE_03885	30.9	4.8		RefSeq:WP_007396995.1, SO:0001217, UniParc:UPI0002080065, UniRef:UniRef100_A0A2D3HH68, UniRef:UniRef50_A0A318PI42, UniRef:UniRef90_A0A070A9P7
contig_1	672500	673012	-	CENAFE_03890	18.7	11.0		SO:0001217, UniParc:UPI0007DD6D03, UniRef:UniRef100_A0A2D3HH51, UniRef:UniRef50_W5YD50, UniRef:UniRef90_A0A070A326
contig_1	676001	676120	+	CENAFE_03905	4.2	11.7		SO:0001217, UniParc:UPI000208015E, UniRef:UniRef100_A0A181C6T9, UniRef:UniRef50_A0A181C6T9, UniRef:UniRef90_A0A181C6T9
contig_1	678199	678597	-	CENAFE_03915	14.2	5.6		RefSeq:WP_007397002.1, SO:0001217, UniParc:UPI0002080161, UniRef:UniRef100_A0A2D3HGY4, UniRef:UniRef50_A0A070A9P0, UniRef:UniRef90_A0A070A9P0
contig_1	713608	713943	+	CENAFE_04065	10.9	9.9		SO:0001217, UniParc:UPI000C1B4459, UniRef:UniRef100_A0A2D3HGZ5, UniRef:UniRef50_A0A347WA71, UniRef:UniRef90_A0A070A491
contig_1	731432	732769	-	CENAFE_04170	47.0	8.8		SO:0001217, UniParc:UPI000208029B, UniRef:UniRef100_A0A181C6P8, UniRef:UniRef50_A0A0D6MGR6, UniRef:UniRef90_A0A0D6Q4W7
contig_1	733719	734069	-	CENAFE_04180	12.9	11.5		SO:0001217, UniParc:UPI0002F57186, UniRef:UniRef100_A0A070A5C2, UniRef:UniRef50_W5YCU7, UniRef:UniRef90_A0A070A5C2
contig_1	745723	745872	+	CENAFE_04225	5.0	6.0		SO:0001217, UniParc:UPI0007DCD60B, UniRef:UniRef100_A0A181C6M3, UniRef:UniRef50_A0A181C6M3, UniRef:UniRef90_A0A181C6M3
contig_1	747317	747448	+	CENAFE_04240	4.7	12.0		
contig_1	754822	755463	+	CENAFE_04275	21.8	6.2		RefSeq:WP_172459740.1, SO:0001217, UniParc:UPI0002DDB686, UniRef:UniRef100_A0A181C6L6, UniRef:UniRef50_G2I092, UniRef:UniRef90_G2I092
